Radius,Qext,Qsca,Qabs,Gsca
0.300000,3.355117,2.328549,1.026568,0.818555
0.301000,3.354605,2.326313,1.028292,0.818849
0.302000,3.354192,2.324041,1.030151,0.819146
0.303000,3.353899,2.321752,1.032146,0.819448
0.304000,3.353740,2.319463,1.034277,0.819754
0.305000,3.353731,2.317192,1.036540,0.820064
0.306000,3.353884,2.314951,1.038933,0.820381
0.307000,3.354209,2.312758,1.041451,0.820703
0.308000,3.354712,2.310624,1.044088,0.821031
0.309000,3.355398,2.308563,1.046835,0.821365
0.310000,3.356269,2.306584,1.049685,0.821706
0.311000,3.357324,2.304696,1.052628,0.822052
0.312000,3.358559,2.302907,1.055653,0.822404
0.313000,3.359969,2.301222,1.058747,0.822760
0.314000,3.361543,2.299645,1.061898,0.823122
0.315000,3.363269,2.298178,1.065091,0.823487
0.316000,3.365132,2.296821,1.068311,0.823854
0.317000,3.367115,2.295571,1.071544,0.824224
0.318000,3.369198,2.294425,1.074773,0.824594
0.319000,3.371358,2.293378,1.077980,0.824963
0.320000,3.373572,2.292419,1.081152,0.825331
0.321000,3.375812,2.291542,1.084270,0.825695
0.322000,3.378052,2.290733,1.087319,0.826054
0.323000,3.380262,2.289981,1.090282,0.826406
0.324000,3.382414,2.289270,1.093144,0.826749
0.325000,3.384476,2.288584,1.095892,0.827083
0.326000,3.386419,2.287907,1.098512,0.827405
0.327000,3.388212,2.287222,1.100990,0.827714
0.328000,3.389827,2.286508,1.103319,0.828008
0.329000,3.391235,2.285748,1.105487,0.828285
0.330000,3.392410,2.284923,1.107487,0.828545
0.331000,3.393326,2.284012,1.109314,0.828787
0.332000,3.393961,2.282998,1.110963,0.829008
0.333000,3.394297,2.281863,1.112434,0.829209
0.334000,3.394310,2.280586,1.113724,0.829388
0.335000,3.393991,2.279154,1.114837,0.829546
0.336000,3.393327,2.277550,1.115776,0.829681
0.337000,3.392307,2.275760,1.116547,0.829794
0.338000,3.390928,2.273772,1.117156,0.829886
0.339000,3.389185,2.271572,1.117613,0.829956
0.340000,3.387081,2.269154,1.117928,0.830005
0.341000,3.384619,2.266507,1.118112,0.830034
0.342000,3.381804,2.263627,1.118177,0.830043
0.343000,3.378647,2.260509,1.118137,0.830035
0.344000,3.375159,2.257150,1.118009,0.830010
0.345000,3.371355,2.253551,1.117804,0.829970
0.346000,3.367251,2.249710,1.117541,0.829916
0.347000,3.362865,2.245632,1.117234,0.829850
0.348000,3.358218,2.241320,1.116899,0.829774
