Radius,Qext,Qsca,Qabs,Gsca
0.283000,1.994989,1.332064,0.662925,0.660089
0.284000,2.003561,1.339362,0.664200,0.660647
0.285000,2.012077,1.346590,0.665487,0.661227
0.286000,2.020542,1.353752,0.666790,0.661830
0.287000,2.028961,1.360851,0.668110,0.662456
0.288000,2.037340,1.367890,0.669450,0.663107
0.289000,2.045683,1.374871,0.670812,0.663785
0.290000,2.053996,1.381798,0.672198,0.664489
0.291000,2.062282,1.388673,0.673609,0.665221
0.292000,2.070549,1.395499,0.675050,0.665981
0.293000,2.078800,1.402281,0.676519,0.666769
0.294000,2.087041,1.409021,0.678020,0.667587
0.295000,2.095277,1.415722,0.679555,0.668435
0.296000,2.103513,1.422389,0.681123,0.669313
0.297000,2.111753,1.429024,0.682729,0.670222
0.298000,2.120002,1.435630,0.684372,0.671162
0.299000,2.128265,1.442213,0.686053,0.672132
0.300000,2.136548,1.448773,0.687775,0.673133
0.301000,2.144852,1.455316,0.689536,0.674165
0.302000,2.153184,1.461844,0.691340,0.675228
0.303000,2.161547,1.468362,0.693185,0.676321
0.304000,2.169945,1.474872,0.695073,0.677445
0.305000,2.178382,1.481377,0.697005,0.678599
0.306000,2.186862,1.487882,0.698980,0.679782
0.307000,2.195387,1.494388,0.700999,0.680995
0.308000,2.203961,1.500899,0.703063,0.682236
0.309000,2.212587,1.507418,0.705170,0.683506
0.310000,2.221269,1.513949,0.707320,0.684803
0.311000,2.230008,1.520494,0.709514,0.686126
0.312000,2.238807,1.527055,0.711752,0.687476
0.313000,2.247668,1.533636,0.714032,0.688851
0.314000,2.256592,1.540239,0.716352,0.690249
0.315000,2.265581,1.546867,0.718714,0.691671
0.316000,2.274636,1.553520,0.721116,0.693115
0.317000,2.283758,1.560202,0.723556,0.694579
0.318000,2.292948,1.566914,0.726034,0.696064
0.319000,2.302207,1.573659,0.728548,0.697567
0.320000,2.311535,1.580438,0.731097,0.699087
0.321000,2.320930,1.587252,0.733679,0.700624
0.322000,2.330395,1.594103,0.736291,0.702175
0.323000,2.339925,1.600992,0.738933,0.703739
0.324000,2.349521,1.607918,0.741603,0.705315
0.325000,2.359181,1.614884,0.744298,0.706902
0.326000,2.368905,1.621890,0.747015,0.708497
0.327000,2.378690,1.628936,0.749754,0.710099
0.328000,2.388533,1.636022,0.752511,0.711707
0.329000,2.398432,1.643148,0.755284,0.713320
0.330000,2.408383,1.650312,0.758071,0.714935
0.331000,2.418383,1.657516,0.760868,0.716550
0.332000,2.428430,1.664757,0.763673,0.718166
0.333000,2.438518,1.672035,0.766483,0.719778
0.334000,2.448643,1.679348,0.769295,0.721387
0.335000,2.458802,1.686695,0.772108,0.722990
0.336000,2.468990,1.694074,0.774916,0.724586
0.337000,2.479201,1.701483,0.777719,0.726174
0.338000,2.489430,1.708919,0.780511,0.727751
0.339000,2.499672,1.716380,0.783292,0.729316
0.340000,2.509921,1.723863,0.786057,0.730868
0.341000,2.520171,1.731366,0.788806,0.732406
0.342000,2.530417,1.738885,0.791532,0.733927
0.343000,2.540652,1.746418,0.794234,0.735431
0.344000,2.550869,1.753958,0.796910,0.736915
0.345000,2.561063,1.761506,0.799557,0.738380
0.346000,2.571226,1.769056,0.802171,0.739823
0.347000,2.581353,1.776603,0.804751,0.741244
0.348000,2.591437,1.784143,0.807294,0.742641
0.349000,2.601470,1.791674,0.809796,0.744014
0.350000,2.611448,1.799190,0.812258,0.745361
0.351000,2.621362,1.806687,0.814675,0.746681
0.352000,2.631207,1.814160,0.817047,0.747975
0.353000,2.640976,1.821605,0.819371,0.749240
0.354000,2.650662,1.829017,0.821645,0.750477
0.355000,2.660259,1.836391,0.823869,0.751684
0.356000,2.669764,1.843723,0.826040,0.752862
0.357000,2.679167,1.851009,0.828157,0.754010
0.358000,2.688465,1.858244,0.830221,0.755127
0.359000,2.697653,1.865424,0.832229,0.756213
0.360000,2.706723,1.872543,0.834180,0.757269
0.361000,2.715672,1.879597,0.836075,0.758294
0.362000,2.724497,1.886584,0.837913,0.759287
0.363000,2.733193,1.893498,0.839695,0.760249
0.364000,2.741755,1.900335,0.841420,0.761180
0.365000,2.750181,1.907093,0.843088,0.762081
0.366000,2.758467,1.913767,0.844700,0.762951
0.367000,2.766611,1.920353,0.846257,0.763790
0.368000,2.774611,1.926851,0.847760,0.764600
0.369000,2.782463,1.933254,0.849209,0.765380
