Radius,Qext,Qsca,Qabs,Gsca
0.351000,2.966156,1.784583,1.181574,0.829489
0.352000,2.957594,1.775576,1.182018,0.829103
0.353000,2.949265,1.766599,1.182666,0.828745
0.354000,2.941191,1.757672,1.183519,0.828417
0.355000,2.933390,1.748812,1.184577,0.828124
0.356000,2.925877,1.740038,1.185839,0.827868
0.357000,2.918664,1.731366,1.187297,0.827653
0.358000,2.911757,1.722812,1.188945,0.827479
0.359000,2.905159,1.714391,1.190769,0.827350
0.360000,2.898869,1.706113,1.192756,0.827267
0.361000,2.892879,1.697989,1.194890,0.827229
0.362000,2.887181,1.690029,1.197152,0.827237
0.363000,2.881758,1.682237,1.199521,0.827291
0.364000,2.876590,1.674618,1.201972,0.827389
0.365000,2.871656,1.667172,1.204484,0.827530
0.366000,2.866928,1.659899,1.207029,0.827712
0.367000,2.862376,1.652796,1.209580,0.827931
0.368000,2.857969,1.645856,1.212113,0.828184
0.369000,2.853672,1.639072,1.214599,0.828467
0.370000,2.849448,1.632433,1.217015,0.828775
0.371000,2.845263,1.625929,1.219334,0.829104
0.372000,2.841079,1.619544,1.221534,0.829449
0.373000,2.836859,1.613264,1.223595,0.829803
0.374000,2.832570,1.607074,1.225495,0.830163
0.375000,2.828178,1.600958,1.227221,0.830521
0.376000,2.823655,1.594897,1.228758,0.830874
0.377000,2.818972,1.588876,1.230096,0.831214
0.378000,2.814105,1.582875,1.231230,0.831539
0.379000,2.809034,1.576880,1.232154,0.831842
0.380000,2.803744,1.570875,1.232869,0.832119
0.381000,2.798221,1.564844,1.233376,0.832367
0.382000,2.792459,1.558777,1.233682,0.832582
0.383000,2.786452,1.552658,1.233795,0.832762
0.384000,2.780203,1.546478,1.233725,0.832903
0.385000,2.773715,1.540229,1.233486,0.833005
0.386000,2.766995,1.533903,1.233093,0.833066
0.387000,2.760058,1.527496,1.232562,0.833086
0.388000,2.752916,1.521004,1.231912,0.833064
0.389000,2.745587,1.514425,1.231161,0.833001
0.390000,2.738094,1.507763,1.230331,0.832898
0.391000,2.730456,1.501014,1.229441,0.832757
0.392000,2.722700,1.494188,1.228512,0.832578
0.393000,2.714851,1.487286,1.227566,0.832366
0.394000,2.706938,1.480316,1.226622,0.832121
0.395000,2.698990,1.473289,1.225701,0.831849
0.396000,2.691033,1.466210,1.224822,0.831550
0.397000,2.683099,1.459094,1.224005,0.831230
0.398000,2.675217,1.451951,1.223266,0.830893
0.399000,2.667416,1.444794,1.222622,0.830541
0.400000,2.659722,1.437635,1.222087,0.830180
0.401000,2.652165,1.430490,1.221676,0.829815
0.402000,2.644768,1.423370,1.221398,0.829448
0.403000,2.637557,1.416292,1.221264,0.829085
0.404000,2.630552,1.409270,1.221283,0.828730
0.405000,2.623775,1.402317,1.221458,0.828388
0.406000,2.617240,1.395447,1.221793,0.828063
0.407000,2.610963,1.388674,1.222289,0.827760
0.408000,2.604956,1.382011,1.222945,0.827481
0.409000,2.599225,1.375468,1.223757,0.827231
0.410000,2.593777,1.369058,1.224719,0.827014
0.411000,2.588611,1.362789,1.225822,0.826832
0.412000,2.583726,1.356670,1.227056,0.826687
0.413000,2.579118,1.350709,1.228409,0.826583
0.414000,2.574775,1.344910,1.229865,0.826521
0.415000,2.570687,1.339279,1.231408,0.826501
0.416000,2.566836,1.333814,1.233022,0.826525
0.417000,2.563207,1.328520,1.234687,0.826592
0.418000,2.559776,1.323393,1.236383,0.826702
0.419000,2.556523,1.318433,1.238091,0.826854
0.420000,2.553422,1.313633,1.239790,0.827045
0.421000,2.550446,1.308987,1.241459,0.827274
0.422000,2.547570,1.304490,1.243080,0.827539
0.423000,2.544766,1.300132,1.244634,0.827835
0.424000,2.542006,1.295903,1.246103,0.828160
0.425000,2.539264,1.291792,1.247472,0.828509
0.426000,2.536516,1.287789,1.248727,0.828879
0.427000,2.533735,1.283880,1.249855,0.829265
0.428000,2.530901,1.280055,1.250846,0.829664
0.429000,2.527992,1.276298,1.251694,0.830071
0.430000,2.524989,1.272598,1.252391,0.830482
0.431000,2.521880,1.268944,1.252936,0.830894
0.432000,2.518648,1.265321,1.253327,0.831302
0.433000,2.515285,1.261720,1.253565,0.831703
0.434000,2.511784,1.258129,1.253654,0.832094
